ids,lon,lat,30yr_separation(km/day),30yr_separation(km/km)
47472.0,-68.794751820933854,43.18722753651209,18.02,0.16
47472.0,-68.873709954164752,43.16330004056757,12.35,0.10
47472.0,-68.821889628896656,43.150069456377004,8.78,0.07
47472.0,-68.778627345115424,43.169610885888879,12.15,0.09
47472.0,-68.909038662557421,43.084619887611318,25.55,0.18
47472.0,-68.966757659842727,43.107462465927433,25.93,0.20
47472.0,-68.990751073897954,43.08268678621301,35.07,0.30
47472.0,-69.03680276358071,43.161297188113942,21.58,0.18
47472.0,-69.040137168792427,43.203145226988326,10.05,0.08
47472.0,-69.138123489599735,43.237172175496219,42.58,0.36
47472.0,-69.115150318836825,43.254570122066887,51.29,0.40
47472.0,-68.981718464765919,43.253981254312983,51.85,0.39
47472.0,-68.784550021638978,43.19598399019862,65.78,0.47
47472.0,-68.757626970390035,42.921858368835245,22.06,0.17
47472.0,-68.75488749708741,42.796751430025857,5.39,0.04
47472.0,-68.86824802402468,42.626492148148763,6.94,0.06
47472.0,-68.954429550688658,42.589341489325157,26.62,0.25
47472.0,-68.980984470728572,42.42244525121535,58.06,0.58
47472.0,-68.875699533795853,42.391433420211428,55.64,0.53
47472.0,-68.770369132335261,42.430380923140845,48.63,0.40
48202.0,-70.543102569360428,42.500890784373723,53.50,0.50
48202.0,-70.49759324620608,42.439788992576467,48.30,0.48
48202.0,-70.413377805273555,42.361070188803566,39.83,0.38
48382.0,-68.53347183798229,44.00955786753083,22.26,0.26
48382.0,-68.642758412935123,43.967939390731175,27.10,0.32
48382.0,-68.777804619464973,43.91734009017916,40.02,0.52
48382.0,-68.906681288711354,43.962211231295683,44.91,0.64
48382.0,-68.975045193609944,43.901480829373533,34.87,0.52
48382.0,-69.09081712337705,43.81609712169098,60.12,1.14
48382.0,-69.157671892647585,43.811199895186753,39.20,0.83
48392.0,-69.751872947081395,43.619975930211353,11.22,0.13
48392.0,-69.751393383223359,43.637815401614191,13.66,0.14
48392.0,-69.798071325591138,43.630728205998921,18.70,0.19
48392.0,-70.040312278329992,43.333007095388716,19.14,0.21
48472.0,-67.272022996571565,44.55023945238846,19.58,0.11
48472.0,-67.37408614159628,44.440175280977769,38.62,0.25
