ids,time,lon,lat,depth
453814,2004-06-02T05:20:00Z,-70.406000000000006,42.950800000000001,-1.0
453814,2004-06-02T06:10:00Z,-70.416399999999996,42.963000000000001,-1.0
453814,2004-06-02T07:14:00Z,-70.427999999999997,42.979999999999997,-1.0
453814,2004-06-02T08:24:00Z,-70.4315,42.991199999999999,-1.0
453814,2004-06-02T09:29:00Z,-70.428200000000004,43.000500000000002,-1.0
453814,2004-06-02T10:21:00Z,-70.423599999999993,43.011099999999999,-1.0
453814,2004-06-02T11:30:00Z,-70.418499999999995,43.019500000000001,-1.0
453814,2004-06-02T12:26:00Z,-70.412099999999995,43.023899999999998,-1.0
453814,2004-06-02T13:31:00Z,-70.403899999999993,43.026200000000003,-1.0
453814,2004-06-02T14:19:00Z,-70.3977,43.026899999999998,-1.0
